id,txnRefNumber,amount,type
1955,u1fb01961,663.93,sale
1956,u51316f43,302.34,sale
1957,u57f1258a,85.38,refund
1958,ud5c60fd0,317.79,sale
1959,ud5060942,867.29,refund
1960,u86ac0b1f,701.23,refund
1961,u2742d24f,647.44,sale
1962,u2e9ac446,12.01,sale
1963,u914e9d95,436.13,sale
1964,ucf38f42c,527.43,sale
1965,ua214f9f5,251.98,refund
1966,ued1ea94d,665.2,sale
1967,u6b7cbf74,470.45,refund
1968,uac8e5c52,148.96,sale
1969,u8e118033,118.77,sale
1970,u522dcdcb,29.8,sale
1971,u526f2134,126.93,sale
1972,u43ab2399,643.61,refund
1973,u3df0682e,988.17,sale
1974,u5d196989,814.98,sale
1975,u7750ce9e,160.25,sale
1976,u84bbd36a,350.27,refund
1977,u18f998a1,374.89,sale
1978,ue5071712,530.47,sale
1979,u66077d62,823.67,refund
1980,ud1571780,747.28,refund
1981,u10ed04a0,592.46,refund
1982,u6e71c9a8,53.26,sale
1983,u548b4224,771.82,refund
1984,ua85e9318,100.79,sale
1985,uacd7ba35,954.4,sale
1986,ub54bc1b5,266.23,refund
1987,u77f9b9cf,45.6,sale
1988,u8ead09ee,474.04,refund
1989,u3be3b345,407.38,refund
1990,uc702a9c5,700.93,sale
1991,u53e238d1,750.41,sale
1992,u9402247d,824.12,refund
1993,uf6b09c13,129.98,refund
1994,ub3446b23,883.59,sale
1995,u900c003f,763.04,sale
1996,u2ce221f5,908.97,sale
1997,u16297360,781.4,sale
1998,ue4cc5e07,327.43,sale
1999,u48185cc9,842.14,refund
2000,u30728a01,965.98,refund
2001,ucc0882db,214.48,refund
2002,ub98f2795,661.79,sale
2003,uf7137e85,538.42,sale
2004,ub2820403,622.62,refund
2005,u1dcc467c,766.27,sale
2006,ub66808c5,733.62,sale
2007,u2ee34eb5,95.86,refund
2008,ucbf4c0a3,510.92,sale
2009,u8cc88628,262.03,sale
2010,uc3e152c9,218.76,refund
2011,ua3bfa010,626.09,sale
2012,u442ad511,124.16,sale
2013,u9a223e55,933.42,sale
2014,u4a0d0027,364.77,sale
2015,ub7fae343,299.91,refund
2016,u956ee033,57.59,sale
2017,u81a0c2e3,552.56,refund
2018,ufe153271,611.46,sale
2019,u445f47f7,4.31,sale
2020,uc4216cdb,449.61,refund
2021,ubd534dd9,977.07,refund
2022,u47218c40,604.63,refund
2023,uf8f58d63,166.23,refund
2024,uf446694b,343.58,sale
2025,u33b1ba39,128.19,sale
2026,u206cb23c,75.3,refund
2027,u36b49195,705.06,sale
2028,uf0fb3bbb,663.18,sale
2029,u3886f797,538.85,sale
2030,u353683ec,600.46,refund
2031,u53f145fc,322.86,sale
2032,u05190350,35.35,sale
2033,uaf625b60,277.18,refund
2034,u786a1741,340.92,sale
2035,u72d19b18,528.64,refund
2036,uc1a70e4e,60.33,refund
2037,u57f63b31,667.71,refund
2038,u76eeb1e4,273.43,sale
2039,uc00f1491,76.66,refund
2040,uee95d654,322.8,refund
2041,u3ca80f4e,907.19,refund
2042,u9a964a85,730.54,refund
2043,u77a77a59,97.32,sale
2044,u0e17f9b6,85.69,sale
2045,u8939acb6,925.68,sale
2046,ud095c9b0,400.35,sale
2047,u354f3e10,378.81,refund
2048,u7d3e1d65,853.7,refund
2049,u4f73b954,755.86,sale
2050,u8e5bf706,980.57,refund
2051,uda5d2655,217.34,refund
2052,uc5491838,933.21,refund
2053,u76a337ca,893.47,sale
2054,u9d52e273,83.84,sale
2055,u460fa129,391.58,sale
2056,ue1e81fdc,67.35,sale
2057,ue28c6bb3,618.63,refund
2058,u9dd42525,495.58,refund
2059,u55c3de50,515.55,refund
2060,ue8322913,68.29,refund
2061,ued3a9f5c,146.39,refund
2062,u45b65cb6,385.55,sale
2063,ud4cd7e6b,849.53,sale
2064,ue5685592,734.3,refund
2065,u8646dfe1,479.12,refund
2066,u4800c1e3,854.32,sale
2067,u7db86faa,148.68,sale
2068,u0d313fa0,355.42,sale
2069,u592953d4,743.13,refund
2070,u68d51716,147.5,sale
2071,u19c07019,431.2,sale
2072,ua8be783e,32.78,sale
2073,ud687b042,730.59,sale
2074,ue82ed6ef,173.19,refund
2075,ua5c630b5,208.98,refund
2076,u27e36871,238.31,sale
2077,ub8a6b5a9,691.64,sale
2078,u49a70286,628.33,refund
2079,uc981a521,230.69,refund
2080,u04e9e3f8,513.01,refund
2081,ue4788cc0,57.97,refund
2082,uc07a0642,616.35,refund
2083,u59a3b84c,164.34,refund
2084,ufd67ba9c,506.62,sale
2085,ua7e7a0c7,583.81,sale
2086,u26617665,504.33,sale
2087,u4ae96992,216.22,sale
2088,ub31396af,474.11,sale
2089,u6122a4d8,424.64,sale
2090,u4f5d015f,824.67,refund
2091,uef9620df,196.5,sale
2092,u3846063f,191.5,refund
2093,uc3bfd66f,277.43,refund
2094,ufa2f90bc,333.03,sale
2095,uf353bc20,497.16,sale
2096,ue35546e4,546.56,sale
2097,u7cc7dd52,318.06,sale
2098,u9875dfdb,634.79,sale
2099,u24ce7076,187.48,refund
2100,u24d94f11,953.6,sale
2101,ue255dbc5,483.43,sale
2102,u81524385,961.96,sale
2103,uac8d29fb,313.88,refund
2104,u2ec94ce5,652.22,refund
2105,u4482ca1b,324.6,sale
2106,ude8a6d4c,711.77,sale
2107,uce20461e,669.68,sale
2108,u7763f50c,79.53,refund
2109,u2da2c49e,806.71,sale
2110,u9952a31c,332.01,refund
2111,uc76401fd,456.87,sale
2112,u12f9cfbd,425.77,refund
2113,uc9c95607,548.19,sale
2114,ua5f96f67,410.37,sale
2115,uf4fc2e26,80.11,refund
2116,u00278559,939.21,sale
2117,u004d39f9,139.48,refund
2118,ub3a71d36,681.37,sale
2119,uf394e09a,956.96,refund
2120,u8395b957,442.68,sale
2121,u37f7b457,714.36,refund
2122,uec083b70,772.29,refund
2123,u7d6c8d76,714.52,refund
2124,ub66a417a,800.95,sale
2125,u16d08d8d,572.94,sale
2126,uf36cbfc8,214.71,refund
2127,u33aaac61,854.23,sale
2128,uef52dcf8,277.45,refund
2129,u55fbb518,901.74,sale
2130,u474f555a,367.42,refund
2131,ub3ae120c,473.56,sale
2132,u38e7da01,159.04,sale
2133,u98cdcdf5,399.07,refund
2134,u2ba50add,416.32,sale
2135,u6b749013,322.19,refund
2136,u0a258e2e,821.61,sale
2137,u1128bd2d,276.86,sale
2138,u3c826bfc,614.28,sale
2139,u34691948,915.52,refund
2140,u03859a41,524.2,sale
2141,uba9f8d2c,998.93,sale
2142,ua5d1e358,831.76,refund
2143,u4fdae19e,368.23,sale
2144,u94152fd1,94.9,sale
2145,u88f169f3,509.64,refund
2146,u797e9c26,348.9,refund
2147,u695490eb,900.88,sale
2148,uf12c9684,105.67,refund
2149,u0ae753c6,729.84,refund
2150,ubb3ef72f,163.78,refund
2151,ud5519e91,659.79,sale
2152,ua7487b31,788.7,sale
2153,ucf3c3750,382.53,sale
2154,ucc9b9e4e,111.96,refund
2155,uc748e934,984.44,refund
2156,u8201c8b0,698.9,refund
2157,u5baa969e,999.55,refund
2158,u048313ba,322.8,refund
2159,ud9b31c52,758.22,sale
2160,u60ed1e8b,675.96,sale
2161,u40ad1afa,26.19,sale
2162,u6629a60f,583.43,refund
2163,ub5fc4b00,899.87,sale
2164,ue8224a89,344.71,refund
2165,u7dd23621,278.51,sale
2166,u60bb740d,239.49,sale
2167,u3f6a4e8c,702.71,sale
2168,uf77eb117,730.3,sale
2169,u257d264b,662.08,refund
2170,uf5dffce8,349.54,sale
2171,uebdac61f,716.92,sale
2172,u2a650dc0,747.78,refund
2173,u3bf97a2c,808.02,refund
2174,u14de3b7c,764.68,sale
2175,ub98e981a,812.33,refund
2176,ub8b5eb6c,409.94,refund
2177,uebc04292,307.78,sale
2178,ua5e05e83,399.88,sale
2179,u0efa512f,262.39,sale
2180,u3cfa593b,129.91,sale
2181,uad605c16,604.98,sale
2182,ud4899d9c,484.45,sale
2183,ucde53c42,893.62,refund
2184,u81b88840,603.04,sale
2185,u079071e8,921.03,sale
2186,u32899274,981.99,refund
2187,u1e410a90,257.65,sale
2188,u1d1745fd,646.68,sale
2189,u6858f9b5,331.98,sale
2190,u74596975,487.27,sale
2191,ue2d38bcd,601.05,sale
2192,u3cc95300,304.19,refund
2193,ub884edbc,327.34,sale
2194,uad4cac41,983.83,refund
2195,u61990a0a,736.05,sale
2196,uc40bb0c7,141.65,refund
2197,u363c0b92,742.39,sale
2198,u83600ac2,291.58,refund
2199,u15660fc0,166.0,sale
2200,ueee5d08d,950.6,sale
2201,u0c6df214,672.46,refund
2202,uc62cd5dd,130.16,refund
2203,u29d25fc2,495.42,refund
2204,ubc5cecc7,68.53,refund
2205,u96d4c3a4,515.49,refund
2206,u2e620b46,870.54,sale
2207,u4177f4ca,221.98,sale
2208,ucc28cb1a,386.77,refund
2209,u215dbdbf,240.03,refund
2210,u3e83d37c,871.98,sale
2211,u2146c2fa,335.49,refund
2212,u6839e569,717.19,refund
2213,ue953254c,371.71,sale
2214,u6e861ec5,837.51,refund
2215,u459ac8f4,408.39,refund
2216,uf7ff7310,51.41,refund
2217,u1ee7d6ac,174.84,sale
2218,u233bb05d,285.93,sale
2219,ua5ae8685,743.91,sale
2220,u80ee72e5,813.79,refund
2221,u292ffd4b,531.83,refund
2222,ua9556a4c,542.04,sale
2223,u48343964,765.64,sale
2224,u5314b9a8,771.45,refund
2225,uf090fcb8,426.27,refund
2226,u231d538d,67.52,sale
2227,u42885cc1,497.59,sale
2228,u07f1a848,505.82,refund
2229,uda3d6925,381.03,sale
2230,uf6d6ed03,245.76,sale
2231,u475d5bea,841.4,refund
2232,ue3a24396,765.7,refund
2233,ueba6b8fb,138.85,sale
2234,u44e74a66,693.47,sale
2235,u12953366,575.35,sale
2236,u490601be,624.19,sale
2237,u3b213e45,152.86,refund
2238,uc188ada0,100.86,sale
2239,u8e8fc099,242.06,sale
2240,ufdf9ae0b,304.54,refund
2241,u1d284883,674.55,refund
2242,u52f22561,67.68,sale
2243,u38128e4c,339.32,refund
2244,ua5850d4c,573.05,sale
2245,ua5e248c3,843.17,refund
2246,ue700fb4e,588.68,sale
2247,u8ed085ac,899.9,refund
2248,ud1b32849,345.48,refund
2249,u914800b6,156.87,refund
2250,ubc0988ee,453.59,sale
2251,u5049a458,559.13,sale
2252,u2b42e37f,99.72,refund
2253,u05d45f1d,569.33,sale
2254,uc49a9fa2,484.49,sale
2255,u7fb4c03e,135.58,sale
2256,ud5ce6a80,553.33,refund
2257,uc78e34c4,168.19,sale
2258,ubdadb12d,145.17,refund
2259,u8b861934,371.96,sale
2260,ub5e18f89,753.65,refund
2261,ued41a4bc,797.13,refund
2262,u95a26111,766.33,refund
2263,u24351ec6,479.51,sale
2264,uf15b6a96,143.49,refund
2265,udcdbd40f,525.49,sale
2266,uc3afa97b,210.28,refund
2267,ud77cdf8f,127.38,refund
2268,u5062455c,924.96,refund
2269,u4e4c042d,175.64,sale
2270,u04821cd3,871.25,refund
2271,u415c2d46,301.39,refund
2272,ub3cc9586,446.91,sale
2273,ub5793661,519.71,sale
2274,ud32fd17b,78.44,sale
2275,ucfd178cb,553.67,refund
2276,u3079f790,323.44,sale
2277,u34ed5e0e,350.91,sale
2278,u5e4e44c9,487.97,refund
2279,u8e75ecc1,19.51,refund
2280,u07fee808,314.94,refund
2281,u6ee18381,491.25,sale
2282,u481c52c3,802.18,refund
2283,uc0b2f133,848.34,refund
2284,u5ba64f1f,341.91,refund
2285,u1dd36fea,97.33,refund
2286,ucc1b6dff,713.88,refund
2287,u28fd3194,57.99,sale
2288,u28182565,909.99,sale
2289,uabd61356,391.74,sale
2290,u2397ec73,125.01,refund
2291,u4b1bae86,658.59,refund
2292,u0fe23981,849.5,sale
2293,u7f832d5f,242.76,refund
2294,ua5c27557,525.08,sale
2295,uf5d68330,942.87,sale
2296,udc728e5a,603.73,sale
2297,u2a0fdc4f,622.86,refund
2298,u6aae7909,309.99,refund
2299,u005fd89f,203.99,sale
2300,ucc466d6f,323.09,refund
2301,u15662179,432.51,sale
2302,u53845b09,508.47,refund
2303,uf06ddbe9,601.8,sale
2304,ua0e67e5a,980.16,sale
2305,u6b272da4,140.08,sale
2306,u7dbe32a4,676.8,sale
2307,u8ff50b7c,943.74,refund
2308,u31c7416c,359.62,sale
2309,u3489b3e1,878.0,sale
2310,uf5fb4676,507.25,refund
2311,ua5d13b35,695.47,refund
2312,u4553a26d,455.55,refund
2313,u8b6b280f,346.64,refund
2314,u2a0eee0f,470.13,refund
2315,u5b6009b0,764.48,sale
2316,u2e58b982,918.27,sale
2317,uacdb03e7,569.31,refund
2318,ua5726966,789.07,refund
2319,u23d9a85f,886.32,sale
2320,uc32dcfa2,172.62,sale
2321,ue33a7d00,845.38,sale
2322,u84482736,63.07,refund
2323,u9f7b2c9f,254.35,sale
2324,u60d3f293,987.07,sale
2325,ud0b811aa,317.96,refund
2326,ud478ff70,69.48,refund
2327,uc175d049,154.37,sale
2328,uc3245d49,961.1,refund
2329,u57e093fa,502.32,refund
2330,u6ef8e4c8,813.62,refund
2331,ud36219a1,364.5,sale
2332,u750c059e,132.7,sale
2333,u2205c7ca,462.94,sale
2334,ueff6e4b2,714.73,refund
2335,uf8a11d93,32.72,refund
2336,u9da6f876,239.84,sale
2337,u3768a3d7,145.45,sale
2338,ufd0ff411,393.71,sale
2339,ub91e3df9,123.11,sale
2340,ufa8664ec,557.3,refund
2341,u4c7bbc73,388.04,refund
2342,ud72f24bd,318.11,refund
2343,u618b3f79,621.4,refund
2344,u03842e15,232.54,sale
2345,u78722f53,307.57,refund
2346,u38c0ea5b,966.08,refund
2347,uc5f71598,890.51,sale
2348,ub7be8d5c,178.07,refund
2349,u05181052,372.63,sale
2350,u7add2d35,847.62,refund
2351,u224debe7,433.09,sale
2352,ufe025d94,177.4,refund
2353,u0e48e1c6,170.37,refund
2354,u201a2cb0,182.25,refund
2355,uc2dea6e7,326.08,refund
2356,u4589b97e,87.74,sale
2357,u8d594740,378.68,sale
2358,u3fdb4988,311.73,sale
2359,uc4058e00,189.78,sale
2360,ue684e4aa,800.43,refund
2361,u6fc29cf4,566.06,sale
2362,u0d34eeb6,632.36,refund
2363,u44d5fd79,36.14,refund
2364,ua1a86ed9,815.92,sale
2365,u4edcfe2a,178.5,sale
2366,u221523d4,462.86,sale
2367,uf5e33928,805.65,refund
2368,u47012907,632.25,refund
2369,ue68769ef,359.37,refund
2370,u81f8208d,688.58,sale
2371,ud1df2724,313.94,sale
2372,u8e0296f9,322.99,sale
2373,ua758f0db,434.62,refund
2374,u8f8cf725,547.43,sale
2375,ue52970c3,364.96,refund
2376,ue7b0343c,738.95,refund
2377,uee5358e6,569.11,sale
2378,u3ae28f8c,885.64,refund
2379,u7656c515,946.6,sale
2380,u1f45c995,711.1,sale
2381,u433c9f9c,49.91,sale
2382,uf53c75c1,676.12,refund
2383,u21221486,12.25,refund
2384,u9bf65099,476.14,refund
2385,ue3e7e1df,443.84,refund
2386,u114395a1,329.07,sale
2387,uac23e721,143.75,refund
2388,uf2be978b,291.21,refund
2389,u015f57f2,408.53,sale
2390,u0a239e58,833.94,refund
2391,uc7bbb69d,277.6,sale
2392,ub6456828,53.25,refund
2393,uc0e0d1b4,827.99,refund
2394,u5d77e523,400.87,refund
2395,u7d427029,279.07,refund
2396,u7f0c295d,4.46,sale
2397,uf0370fb1,325.99,refund
2398,u1de350dd,280.44,refund
2399,ud792fb6f,637.09,sale
2400,uedd86f36,632.54,sale
2401,u47a868a0,582.12,refund
2402,uf42600d4,329.87,refund
2403,ud7c82a92,799.03,sale
2404,u4523850d,413.73,refund
2405,ua70e41d9,453.0,refund
2406,uf15b57d2,524.21,sale
2407,ub89348fa,239.2,refund
2408,uf8fcdc0c,261.93,refund
2409,u89ecd29b,193.2,refund
2410,u36c2eafd,150.3,sale
2411,u2345fdca,149.98,refund
2412,ud517cbb3,403.37,refund
2413,u87257863,411.55,sale
2414,uc5ebab0f,95.78,refund
2415,ue347f2c5,776.97,refund
2416,u9d6bac6a,112.44,sale
2417,u199731ab,913.2,sale
2418,u040ee42a,562.34,sale
2419,u309dfccb,797.01,refund
2420,uad0a6f2a,140.45,refund
2421,ud98a8b9e,303.13,refund
2422,ue001e126,497.82,refund
2423,u7c7714ee,367.66,refund
2424,u688d977f,926.44,refund
2425,u52a15075,163.47,sale
2426,u74f656f7,289.73,sale
2427,uf8efa707,519.12,sale
2428,uec9b1726,792.44,sale
2429,ucd2cf12e,355.69,sale
2430,u9165becc,891.73,sale
2431,ubd792471,510.59,sale
2432,u0ea90b64,653.89,refund
2433,u37aef3dc,553.9,sale
2434,u640b7302,96.14,refund
2435,u780b4c23,756.77,refund
2436,u653b6776,83.13,sale
2437,u3bd5e716,507.39,sale
2438,u7df76307,747.5,refund
2439,uc0f9409b,438.88,refund
2440,ua712219d,27.7,refund
2441,ube3c0a56,484.2,sale
2442,u7e7c43e4,149.83,sale
2443,u551c70da,130.85,sale
2444,u0a94763c,413.51,refund
2445,u09573765,592.48,sale
2446,u4c1e2b87,132.72,sale
2447,uccb442d4,159.98,sale
2448,u81f34e9b,436.19,refund
2449,u93d1565a,973.83,refund
2450,u8d22ce91,476.86,sale
2451,uc5cd5751,939.27,sale
2452,uf7cac403,697.7,refund
2453,u554639b3,813.12,refund
2454,uec54a4ee,530.57,sale
2455,u8d765883,84.78,sale
2456,ub53d853c,714.82,refund
2457,u13c2f48c,523.79,refund
2458,ud78447dc,719.06,sale
2459,ufd09d8f7,842.44,sale
2460,u77f2c1c8,739.42,sale
2461,ua4f7455f,704.03,sale
2462,u9eb387e3,603.43,refund
2463,uf310fdc1,852.27,sale
2464,ucd90ea91,757.36,sale
2465,u0de8b7cf,175.65,sale
2466,ue1d16737,607.51,refund
2467,uc6c5d2d6,205.46,sale
2468,u7cd8299a,524.34,sale
2469,uaf64e874,555.42,refund
2470,u76cedf3d,67.59,sale
2471,uc6c33d55,636.99,refund
2472,u239f9e42,115.35,refund
2473,u643c6e6f,559.29,refund
2474,u79ac15b4,729.03,refund
2475,uf647200f,798.88,sale
2476,ubdc68efb,897.47,sale
2477,ubf641902,768.02,sale
2478,ue5287266,241.36,sale
2479,uaa673e5a,707.68,refund
2480,u41ea63c6,686.62,sale
2481,u9dabff7e,19.95,refund
2482,u3d08f222,690.46,sale
2483,u43387910,270.57,refund
2484,u82b632b4,663.15,refund
2485,u01ca967f,943.7,refund
2486,ubcd52155,803.03,sale
2487,ucc90674d,241.03,refund
2488,u6805fd43,530.29,refund
2489,u262c4b71,446.03,refund
2490,ud0fd5647,855.63,sale
2491,u3923524a,800.07,refund
2492,u0a97aa42,463.56,refund
2493,u284b375c,846.46,refund
2494,uec3acfe2,974.43,refund
2495,ucd033304,56.94,sale
2496,ufc657f98,93.64,refund
2497,ue57efc3d,144.7,refund
2498,udfe59080,969.01,sale
2499,u25e94ea3,561.36,refund
2500,u73706aa8,922.05,sale
2501,u368eddf4,575.46,sale
2502,u25bda9af,206.75,sale
2503,u573f1bee,676.09,sale
2504,u162adcab,434.99,refund
2505,u2e20b69f,34.14,sale
2506,udc2b2a26,308.82,refund
2507,u5ddf7668,821.54,sale
2508,u74c78843,757.11,sale
2509,ue2feae4a,706.52,refund
2510,u0345bd91,198.6,sale
2511,ue395e6fb,166.74,refund
2512,ud860f04b,735.33,sale
2513,uff3f6273,921.94,refund
2514,u72af1495,320.28,refund
2515,uf93bfbbb,466.36,refund
2516,u20d68799,446.96,sale
2517,ud0253378,129.5,refund
2518,u56721f7a,363.07,sale
2519,u8394de23,226.39,refund
2520,u20cb5572,726.81,sale
2521,u66763ebb,426.2,sale
2522,u414dee5f,344.36,refund
2523,ub6cff390,357.54,sale
2524,u806385a3,191.6,refund
2525,ud7fede0c,874.53,sale
2526,u66345146,329.61,sale
2527,ue8e02444,983.79,refund
2528,ucf590fb3,77.6,refund
2529,ue68463c2,250.91,sale
2530,u3c1f8fc1,414.78,refund
2531,u17ef4554,580.51,sale
2532,ub4b0da74,22.14,sale
2533,u2982de83,387.29,sale
2534,u1ddaca2d,45.97,refund
2535,u142ce997,134.77,sale
2536,u4c184582,880.36,sale
2537,u6058596c,705.27,sale
2538,u97697559,893.39,refund
2539,uabe92891,151.13,refund
2540,u4109fa92,871.23,sale
2541,u5fd95ee7,868.05,sale
2542,u02e2e59e,867.72,sale
2543,uee045777,918.27,refund
2544,u16b68418,930.85,refund
2545,uaf8c3c4a,970.87,sale
2546,uf8eb77d8,669.0,refund
2547,ude28d65c,111.26,refund
2548,u6acc2fb5,873.84,sale
2549,uc33a8c99,505.39,sale
2550,ue320ba20,263.63,refund
2551,u9e2d06dc,896.4,refund
2552,u7400cf1c,212.08,refund
2553,u77be6ea7,675.41,sale
2554,u3b64ad75,284.66,refund
2555,u4181b662,307.51,refund
2556,u46d7279b,606.22,sale
2557,ud226e698,298.01,sale
2558,u65db84be,768.62,sale
2559,u4f389470,869.8,refund
2560,ubda13d6f,504.51,sale
2561,u86d40f9a,571.21,sale
2562,uaebc7f0f,692.45,sale
2563,u1ef9b8d6,671.4,refund
2564,uf86c9894,364.68,sale
2565,u4a0f15a4,581.55,sale
2566,u0680783e,334.8,sale
2567,u2fa7b614,60.89,refund
2568,u64bc55e0,411.23,sale
2569,u2387efd6,77.69,refund
2570,ua207cc29,161.57,sale
2571,u7e901e9b,346.77,refund
2572,u84b3951d,267.72,sale
2573,u1ec25d9c,769.08,refund
2574,u6356ff3c,808.73,sale
2575,u444d67db,939.47,sale
2576,ua9ae4943,416.87,sale
2577,u4b498dae,271.62,sale
2578,u3ce1898a,265.53,sale
2579,u875a8717,907.53,refund
2580,u395c5122,733.79,refund
2581,uc2baeacb,85.8,refund
2582,u73a26754,754.77,refund
2583,u302c86a5,463.12,sale
2584,uc15675d1,826.01,sale
2585,ue27f1dc0,872.81,sale
2586,u7d6ebe06,333.43,sale
2587,ub7ea2309,291.45,sale
2588,uc0a0aed5,569.21,sale
2589,u06b31419,159.09,refund
2590,ua5ab4bbb,539.52,sale
2591,u6e5ee8b0,216.88,refund
2592,uf191a014,609.41,refund
2593,u797c9d1a,679.17,refund
2594,u8da09974,203.29,sale
2595,uf6231ee6,239.31,refund
2596,ubd323077,524.09,sale
2597,uc719f0ed,326.09,sale
2598,ua3d7d510,832.42,sale
2599,u562300a6,212.61,refund
2600,ucd34c6d7,9.46,sale
2601,udd68a7ad,953.46,sale
2602,uea6dc81b,471.75,refund
2603,ub03ba4bf,824.14,refund
2604,udb2b15b3,89.08,refund
2605,uddecd2e3,114.34,refund
2606,u1c3f569d,721.05,sale
2607,u8d2a740a,828.77,sale
2608,ua9522229,416.84,refund
2609,ub6b5f9b4,680.25,sale
2610,uc78c9fe1,51.86,sale
2611,u6ab4cc9e,654.92,refund
2612,uc1df9b67,208.6,sale
2613,uaed6ff64,188.01,sale
2614,u42f7bb2d,78.65,sale
2615,u174efa0b,300.35,sale
2616,uaab9778e,491.41,sale
2617,u55a8fe3c,700.43,sale
2618,u63f555c6,762.72,sale
2619,ub4882640,921.88,refund
2620,u073e799a,355.49,refund
2621,u858acbc0,204.56,sale
2622,u84e882c3,356.71,sale
2623,ub8e49639,876.69,sale
2624,u2634742e,324.11,sale
2625,uc07d923f,14.63,sale
2626,u7c029c13,206.86,refund
2627,u3f6e1a34,222.06,sale
2628,u9d0b97da,506.11,refund
2629,u658d15f9,658.66,refund
2630,u395655ed,991.07,refund
2631,u4784549d,188.06,refund
2632,u95da728e,382.47,sale
2633,ue3a38a6f,38.56,sale
2634,ub7d5893d,133.74,refund
2635,uebe7fdc1,511.32,refund
2636,u5899235d,859.01,sale
2637,u7bf5a24c,726.84,sale
2638,u5e6ed1b5,840.27,refund
2639,u919bf34c,823.7,refund
2640,u190b690a,928.65,sale
2641,ubd614350,196.93,sale
2642,u9494d77c,920.18,sale
2643,ud39e85c5,857.28,sale
2644,u1fb1247c,763.56,refund
2645,u2b5792cc,848.71,sale
2646,u8a6375ca,164.74,sale
2647,u6075fb32,629.53,refund
2648,u921c0081,130.83,refund
2649,u1c80b82a,923.28,refund
2650,u21e1843f,297.84,refund
2651,u5b3af340,140.79,sale
2652,u99e40801,262.75,refund
2653,u5f245474,517.19,sale
2654,u6689d3ee,828.57,sale
2655,u613ed28c,654.01,sale
2656,ufe611ca8,409.57,sale
2657,u14b23b87,997.37,sale
2658,ufdcb8bc4,945.47,sale
2659,u1b133a4e,181.66,sale
2660,u002a0929,619.24,refund
2661,u468fccce,888.91,sale
2662,ub0b86d8c,842.0,sale
2663,u886e2748,767.09,sale
2664,u5dc78a45,356.61,refund
2665,ua03692d6,700.94,refund
2666,u8898f6a1,943.52,sale
2667,ub5ae1ff7,74.96,refund
2668,ua8a72ced,45.94,sale
2669,u0dcaff73,259.07,sale
2670,u6241fd19,65.16,refund
2671,u365a5be7,553.11,refund
2672,uf1f63a68,355.74,refund
2673,u889fdccb,623.96,sale
2674,u8f908749,485.69,refund
2675,uedd5ab4d,80.85,refund
2676,u34e0e513,581.72,refund
2677,u51a1bc0b,672.1,sale
2678,ucdcc03d2,771.25,refund
2679,u6d39d966,874.4,refund
2680,u78c7af0c,456.24,sale
2681,ud8a254b4,933.27,refund
2682,u43d5b265,291.86,sale
2683,u13230708,77.9,sale
2684,ud81c7358,589.48,sale
2685,u319a2dbc,469.11,sale
2686,ub8cf8669,365.55,refund
2687,u74df1015,124.42,refund
2688,ued0aacdf,189.88,sale
2689,u13797b4a,327.33,sale
2690,u5ede41fb,682.84,refund
2691,u9f9345ff,150.67,sale
2692,u7158d536,173.51,sale
2693,u24db4326,922.87,refund
2694,u679790fd,925.53,refund
2695,u90e82935,99.04,refund
2696,u4bdafcd7,493.52,sale
2697,uf0a2bdf4,349.94,refund
2698,ucf4d11f0,296.1,sale
2699,u6f82ec59,658.54,refund
2700,u13aa796c,959.45,sale
2701,ufe95d2ad,564.79,sale
2702,u1320c189,59.19,sale
2703,uc250c2ac,587.31,refund
2704,uab6646fd,273.77,sale
2705,ub4c35b16,764.58,refund
2706,u6f6823d7,105.44,sale
2707,ufc54e564,578.05,refund
2708,u1092ca24,277.28,refund
2709,u638056cd,605.99,refund
2710,u4b28cc3b,793.03,refund
2711,u594459d6,258.43,sale
2712,uf2708858,508.45,refund
2713,uef5c3caa,985.71,sale
2714,u4c3e8c2f,187.67,refund
2715,ua6d3293f,675.17,sale
2716,ua240ca0e,546.26,refund
2717,udc5e6d43,482.86,sale
2718,ue12f4d6b,740.88,refund
2719,u86ef9d9a,40.29,sale
2720,u50a9f812,902.76,refund
2721,u7a36e9ca,435.04,sale
2722,u353c549b,194.15,sale
2723,u42861d4b,218.86,refund
2724,ua95350f5,573.36,refund
2725,uadc195e8,413.79,refund
2726,ubb38092c,158.45,sale
2727,u3f7d2816,180.97,sale
2728,uf3fc87d9,80.55,sale
2729,u6154b65f,66.04,sale
2730,u109b89bf,591.86,sale
2731,u90b7c02f,404.15,refund
2732,u99852246,983.54,refund
2733,u9a6a3cfa,361.44,refund
2734,uead3ca68,986.57,sale
2735,u2874fe70,135.51,sale
2736,ua5380793,288.39,refund
2737,u96e746f0,512.77,sale
2738,ud65e81d5,913.47,refund
2739,u84668453,754.46,sale
2740,u0a55cd86,570.85,sale
2741,ud718f365,715.4,refund
2742,u0ca1f32a,872.62,refund
2743,ud2a50041,434.88,refund
2744,u671875e8,958.36,sale
2745,ud63ed2eb,569.26,sale
2746,u7c5fe1ba,810.58,refund
2747,u7f8238fa,421.72,refund
2748,uf0147aed,889.04,sale
2749,ucfa5d66f,242.78,sale
2750,ufdb22b75,30.88,refund
2751,u5b949221,942.93,refund
2752,ubdd9e0db,63.26,sale
2753,ua4dd3bd8,774.54,sale
2754,ub9babce8,56.85,refund
2755,u4d106e4f,872.16,sale
